Date,"Risk trans. per sx cnt (post. mean, no reversion)","Risk trans. per sx cnt (post. 25%, no reversion)","Risk trans. per sx cnt (post. 75%, no reversion)","Risk trans. per sx cnt (post. mean, 4wk reversion)","Risk trans. per sx cnt (post. 25%, 4wk reversion)","Risk trans. per sx cnt (post. 75%, 4wk reversion)","Risk trans. per sx cnt (post. mean, 12wk reversion)","Risk trans. per sx cnt (post. 25%, 12wk reversion)","Risk trans. per sx cnt (post. 75%, 12wk reversion)"
2022-07-27,0.12992297661336444,0.06968680842721703,0.19015914479951185,0.12992299392161505,0.0696868197860504,0.1901591680571797,0.1299689906951868,0.06971700594954336,0.19022097544083025
2022-07-28,0.12992297661336444,0.06968680842721703,0.19015914479951185,0.1299230006542202,0.0696868242044368,0.1901591771040036,0.1299743155122444,0.06972050045113096,0.19022813057335783
2022-07-29,0.12992297661336444,0.06968680842721703,0.19015914479951185,0.1299230100056899,0.0696868303414975,0.1901591896698823,0.1299802563754193,0.06972439924344098,0.1902361135073976
2022-07-30,0.12992297661336444,0.06968680842721703,0.19015914479951185,0.12992302299471592,0.06968683886576635,0.1901592071236655,0.12998688452056661,0.06972874907621264,0.1902450199649206
2022-07-31,0.12992297661336444,0.06968680842721703,0.19015914479951185,0.12992304103624272,0.0696868507058246,0.19015923136666085,0.12999427941186445,0.06973360209916177,0.19025495672456713
2022-08-01,0.12992297661336444,0.06968680842721703,0.19015914479951185,0.12992306609560234,0.06968686715145472,0.19015926503974995,0.13000252969005852,0.0697390164842825,0.19026604289583454
2022-08-02,0.12992297661336444,0.06968680842721703,0.19015914479951185,0.12992310090260412,0.06968688999414054,0.1901593118110677,0.1300117342294468,0.06974505711951137,0.19027841133938225
2022-08-03,0.12992297661336444,0.06968680842721703,0.19015914479951185,0.1299231492489017,0.06968692172221906,0.1901593767755843,0.130022003315942,0.06975179638185075,0.19029221025003323
2022-08-04,0.12992297661336444,0.06968680842721703,0.19015914479951185,0.12992321640102777,0.06968696579194175,0.1901594670101138,0.1300334599599173,0.06975931499894644,0.19030760492088816
2022-08-05,0.12992297661336444,0.06968680842721703,0.19015914479951185,0.1299233096740889,0.06968702700397153,0.1901595923442063,0.13004624135905352,0.06976770300910526,0.19032477970900177
2022-08-06,0.12992297661336444,0.06968680842721703,0.19015914479951185,0.12992343922861166,0.06968711202632638,0.19015976643089694,0.13006050052806833,0.06977706083083343,0.19034394022530324
2022-08-07,0.12992297661336444,0.06968680842721703,0.19015914479951185,0.12992361917733417,0.0696872301207303,0.19016000823393803,0.13007640811405485,0.06978750045418267,0.19036531577392704
2022-08-08,0.12992297661336444,0.06968680842721703,0.19015914479951185,0.1299238691224964,0.06968739415148609,0.1901603440935067,0.13009415441816988,0.06980538390243635,0.1903829249339034
2022-08-09,0.12992297661336444,0.06968680842721703,0.19015914479951185,0.12992421629106218,0.06968762198675088,0.1901608105953735,0.13011395164664025,0.06983166174752119,0.1903962415457593
2022-08-10,0.12992297661336444,0.06968680842721703,0.19015914479951185,0.12992469850041322,0.06968793844482343,0.190161458556003,0.1301360364164882,0.06986097595994581,0.19041109687303057
